item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
207,at,at,at,percent,at,at,at,percent,at,percent,dollar-sign,and,percent,7,57406312,2310,AAABAAAB,experiment
151,equals,equals,equals,at,equals,equals,equals,at,hashtag,slash,equals,at,at,7,75230614,2031,AAABAAAB,experiment
53,percent,percent,percent,tilde,percent,percent,percent,tilde,less-than,percent,tilde,asterisk,tilde,7,03165742,2130,AAABAAAB,experiment
130,angle-up,angle-up,angle-up,plus,angle-up,angle-up,angle-up,plus,exclamation,asterisk,plus,angle-up,plus,7,41635207,0213,AAABAAAB,experiment
208,minus,minus,minus,equals,minus,minus,minus,equals,equals,greater-than,minus,plus,equals,7,63251407,2130,AAABAAAB,experiment
143,percent,percent,percent,minus,percent,percent,percent,minus,percent,at,greater-than,minus,minus,7,17603542,3021,AAABAAAB,experiment
27,dollar-sign,dollar-sign,dollar-sign,less-than,dollar-sign,dollar-sign,dollar-sign,less-than,angle-up,dollar-sign,less-than,hashtag,less-than,7,76021354,2103,AAABAAAB,experiment
128,greater-than,greater-than,greater-than,quote,greater-than,greater-than,greater-than,quote,quote,percent,greater-than,tilde,quote,7,46120753,2130,AAABAAAB,experiment
180,and,and,and,exclamation,and,and,and,exclamation,slash,minus,exclamation,and,exclamation,7,03241657,1320,AAABAAAB,experiment
108,asterisk,asterisk,asterisk,dollar-sign,asterisk,asterisk,asterisk,dollar-sign,asterisk,at,dollar-sign,quote,dollar-sign,7,72614503,3102,AAABAAAB,experiment
96,dollar-sign,dollar-sign,dollar-sign,and,dollar-sign,dollar-sign,dollar-sign,and,greater-than,dollar-sign,less-than,and,and,7,47120653,2103,AAABAAAB,experiment
44,less-than,less-than,less-than,asterisk,less-than,less-than,less-than,asterisk,less-than,plus,asterisk,quote,asterisk,7,06371254,1023,AAABAAAB,experiment
86,angle-up,angle-up,angle-up,quote,angle-up,angle-up,angle-up,quote,angle-up,at,quote,slash,quote,7,41273056,3012,AAABAAAB,experiment
90,greater-than,greater-than,greater-than,minus,greater-than,greater-than,greater-than,minus,quote,minus,greater-than,plus,minus,7,03176524,0312,AAABAAAB,experiment
39,exclamation,exclamation,exclamation,dollar-sign,exclamation,exclamation,exclamation,dollar-sign,exclamation,at,greater-than,dollar-sign,dollar-sign,7,53607421,3102,AAABAAAB,experiment
222,quote,quote,quote,dollar-sign,quote,quote,quote,dollar-sign,quote,at,asterisk,dollar-sign,dollar-sign,7,21046753,3210,AAABAAAB,experiment
103,minus,minus,minus,less-than,minus,minus,minus,less-than,less-than,hashtag,minus,tilde,less-than,7,35621047,3012,AAABAAAB,experiment
47,quote,quote,quote,greater-than,quote,quote,quote,greater-than,greater-than,quote,asterisk,exclamation,greater-than,7,52736041,0312,AAABAAAB,experiment
69,and,and,and,asterisk,and,and,and,asterisk,greater-than,and,minus,asterisk,asterisk,7,13754602,2130,AAABAAAB,experiment
106,and,and,and,greater-than,and,and,and,greater-than,and,quote,greater-than,exclamation,greater-than,7,13076245,1230,AAABAAAB,experiment
447,less-than,equals,less-than,equals,and,percent,and,percent,equals,less-than,and,percent,percent,7,60175423,0321,ABABCDCD,experiment
425,equals,greater-than,equals,greater-than,at,hashtag,at,hashtag,at,hashtag,greater-than,equals,hashtag,7,36145270,2013,ABABCDCD,experiment
423,greater-than,percent,greater-than,percent,plus,tilde,plus,tilde,greater-than,plus,tilde,percent,tilde,7,43125607,3012,ABABCDCD,experiment
467,greater-than,at,greater-than,at,plus,and,plus,and,at,greater-than,and,plus,and,7,21356407,3201,ABABCDCD,experiment
263,exclamation,and,exclamation,and,angle-up,greater-than,angle-up,greater-than,and,angle-up,exclamation,greater-than,greater-than,7,73410526,2130,ABABCDCD,experiment
304,greater-than,angle-up,greater-than,angle-up,plus,percent,plus,percent,plus,percent,greater-than,angle-up,percent,7,37401625,2031,ABABCDCD,experiment
440,and,exclamation,and,exclamation,slash,hashtag,slash,hashtag,and,slash,exclamation,hashtag,hashtag,7,75130426,3021,ABABCDCD,experiment
320,percent,less-than,percent,less-than,hashtag,at,hashtag,at,less-than,hashtag,at,percent,at,7,47103625,2310,ABABCDCD,experiment
442,percent,equals,percent,equals,plus,hashtag,plus,hashtag,percent,plus,hashtag,equals,hashtag,7,04125736,1032,ABABCDCD,experiment
411,quote,exclamation,quote,exclamation,minus,less-than,minus,less-than,quote,minus,less-than,exclamation,less-than,7,53640127,0213,ABABCDCD,experiment
250,greater-than,equals,greater-than,equals,minus,plus,minus,plus,greater-than,plus,equals,minus,plus,7,27165304,2310,ABABCDCD,experiment
279,less-than,plus,less-than,plus,at,dollar-sign,at,dollar-sign,at,plus,dollar-sign,less-than,dollar-sign,7,04567123,1032,ABABCDCD,experiment
332,greater-than,asterisk,greater-than,asterisk,minus,and,minus,and,minus,greater-than,and,asterisk,and,7,43670215,3021,ABABCDCD,experiment
335,at,greater-than,at,greater-than,percent,asterisk,percent,asterisk,at,asterisk,percent,greater-than,asterisk,7,12054376,1230,ABABCDCD,experiment
479,asterisk,minus,asterisk,minus,exclamation,tilde,exclamation,tilde,minus,tilde,exclamation,asterisk,tilde,7,05742316,1032,ABABCDCD,experiment
248,at,minus,at,minus,plus,tilde,plus,tilde,tilde,plus,minus,at,tilde,7,56072413,0231,ABABCDCD,experiment
